web-scraper-order,web-scraper-start-url,Page,Element,Element-href,name,location,length,elevation,route,description,difficulty,rating,participants,tags
"1700576911-248","https://www.alltrails.com/switzerland/bern","","Saanen - Erlenbach - Zweisimmen","https://www.alltrails.com/trail/switzerland/bern/saanen-erlenbach-zweisimmen","Saanen - Erlenbach - Zweisimmen","Diemtigtal Nature Park","100.1 km","3,316 m","Loop","Very nice bike tour between the two nature parks of Diemtigtal and Vanil Noir. The start is in Saanen next to Gstaad in a great region in the canton of Bern. The path makes a complete loop via Erlenbach and Zweisimmen. The path is very entertaining and instructive with about 100 kilometers with steep climbs and blatant downhills on the road.","Hard","3.6","(7)","HikingRoad bikingRunningForestRiverViewsWildflowers"
"1700576916-249","https://www.alltrails.com/switzerland/bern","","Bönigen Circular route","https://www.alltrails.com/trail/switzerland/bern/bonigen-rundweg","Bönigen Circular route","Bönigen, Bern, Switzerland","5.0 km","269 m","Loop","This trail starts in Bönigen in the middle of the small town right on the shore of Lake Brienz. The path invites you to take a walk and leads to the Hauetenbach along the Holzgasse. Then continue across fields and meadows back to the start.

This trail can be a bit muddy after a few bad weather days.","Moderate","3.6","(4)","Kid friendlyWalkingRunningDog friendlyForestLakePartially pavedRiverWildflowers"
"1700576919-250","https://www.alltrails.com/switzerland/bern","","Mühleberg - Buttenried - Wöhlen","https://www.alltrails.com/trail/switzerland/bern/muhleberg-buttenried-wohlen","Mühleberg - Buttenried - Wöhlen","Bremgartenwald","32.3 km","638 m","Loop","Discover this circular hike on Lake Wohlen near Bern, which is also suitable for mountain bikers and runners. The path begins in Mühleberg and leads via Buttenried to Wohlen via Bern-Brünnen and back again. The tour is a loop around lake Wohlensee and in part leads one directly on the shore of the lake. Soon after the lake then meets the river Aare which thereby feeds this reservoir.","Moderate","4.0","(2)","Dogs on leashHikingMountain bikingBike touringRunningBeachForestLakePavedRiverViewsWildflowersWildlife"
"1700576923-251","https://www.alltrails.com/switzerland/bern","","Via Jacobi, Segment 4: Huttwil - Burgdorf, Alternate route","https://www.alltrails.com/trail/switzerland/bern/via-jacobi-etappe-4-huttwil-burgdorf-alternative-route","Via Jacobi, Segment 4: Huttwil - Burgdorf, Alternate route","Huttwil, Bern, Switzerland","23.5 km","707 m","Point to point","The path between Huttwil and Burgdorf is of great importance for the Via Jacobi hiking trail. it leads through a few settlements and comes down to Burgdorf at the foot of the Binzberg.

An overview of all segments of the Via Jacobi from Lucerne to Geneva can be found here: https://www.alltrails.com/en-gb/lists/via-jacobi-luzern-genf-alternative-route","Hard","5.0","(2)","BackpackingHikingRunningDog friendlyForestPartially pavedRiverViewsWildflowersCity walkHistoric site"
"1700576927-252","https://www.alltrails.com/switzerland/bern","","Gstaad - Château d’Oex","https://www.alltrails.com/trail/switzerland/bern/gstaad-chateau-d-oex","Gstaad - Château d’Oex","Gstaad, Bern, Switzerland","34.8 km","720 m","Loop","This very beautiful hike is located between the village and ski resort of Gstaad and the village of Château d'Oex. A perfect route for a two-day outing on foot or one by bike in the cantons of Bern and Vaud. A large part of the exit is the Gruyère Pays-d'Enhaut Regional Natural Park.","Moderate","3.3","(3)","BackpackingCampingHikingMountain bikingRunningForestRiverViewsWildflowersHistoric site"
"1700576930-253","https://www.alltrails.com/switzerland/bern","","Windegghuette, Triftbruecke,Trifthuette und Zurueck","https://www.alltrails.com/trail/switzerland/bern/windegghuette-triftbruecketrifthuette-und-zurueck","Windegghuette, Triftbruecke,Trifthuette und Zurueck","Gadmen, Bern, Switzerland","8.0 km","1,283 m","Out & back","","Hard","3.8","(2)","HikingRunningLakeRiverViewsWildlife"
"1700576935-254","https://www.alltrails.com/switzerland/bern","","Mittelhäusern - Niederwangen","https://www.alltrails.com/trail/switzerland/bern/mittelhausern-niederwangen","Mittelhäusern - Niederwangen","Mittelhäusern, Bern, Switzerland","16.4 km","375 m","Loop","","Easy","4.3","(5)","Mountain bikingRoad bikingBike touringForestPavedRiverViewsWildflowersNo shade"
"1700576940-255","https://www.alltrails.com/switzerland/bern","","Erlach - Thielle - Preverenges - Lausanne - Montreux","https://www.alltrails.com/trail/switzerland/bern/erlach-thielle-preverenges-lausanne-montreux","Erlach - Thielle - Preverenges - Lausanne - Montreux","Erlach, Bern, Switzerland","138.6 km","1,694 m","Point to point","This trail starts at Lake Biel/ Lac de Bienne and leads through diverse cultural landscapes to Montreux.

It passes two nature reserves, the Réserve naturelle des Grèves de la Motte and the Réserve naturelle des Grèves d'Ostende et de Chevroux on the shore of Lake Neuchâtel. Then it leads through some agricultural land and fields to Lausanne on the shore of Lake Geneva to Montreux. A really varied tour to many different sights and landscapes.","Hard","3.5","(6)","BackpackingCampingHikingMountain bikingBike touringRunningForestLakeRiverViewsWildflowersWildlife"
"1700576945-256","https://www.alltrails.com/switzerland/bern","","Aebiweg via Gilbach","https://www.alltrails.com/trail/switzerland/bern/aebiweg-via-gilbach","Aebiweg via Gilbach","Adelboden, Bern, Switzerland","6.0 km","240 m","Loop","Discover this circular hike in the canton of Bern on the Swiss Plateau. It is suitable for the whole family.

The starting and ending point is in Gilbach near Adelboden and from there you hike along the Aebiweg through the beautiful mountain landscape to the Aebi at the valley station of the Sillerenbühl chairlift.","Moderate","5.0","(3)","Kid friendlyHikingForestRiverViewsWildflowersWildlife"
"1700576951-257","https://www.alltrails.com/switzerland/bern","","Schwarzenburg - Kriesbaumen","https://www.alltrails.com/trail/switzerland/bern/schwarzenburg-kriesbaumen","Schwarzenburg - Kriesbaumen","Schwarzenburg, Bern, Switzerland","9.5 km","294 m","Out & back","This trail starts in Schwarzenburg and leads to the small village of Kriesbaumen. Along the route the path leads across the cultural landscape and reaches its destination over fields and meadows. After a short break on site, it's back to the starting point. Even children can come along here without any problems and can relax.","Moderate","4.2","(2)","Kid friendlyHikingRunningDog friendlyForestPartially pavedViewsWildflowersNo shadeHistoric site"
"1700576956-258","https://www.alltrails.com/switzerland/bern","","Moutier - Perrefitte - Souterrain du Mehyre","https://www.alltrails.com/trail/switzerland/bern/moutier-perrefitte-souterrain-du-mehyre","Moutier - Perrefitte - Souterrain du Mehyre","Moutier, Bern, Switzerland","8.5 km","354 m","Loop","","Moderate","4.7","(4)","HikingMountain bikingRunningCaveForestPartially pavedRiverViewsWildflowers"
"1700576959-259","https://www.alltrails.com/switzerland/bern","","St-Imier - Chasseral - Sonceboz - Solothurn - Grenchen","https://www.alltrails.com/trail/switzerland/bern/st-imier-chasseral-sonceboz-solothurn-grenchen","St-Imier - Chasseral - Sonceboz - Solothurn - Grenchen","Chasseral Regional Park","96.4 km","2,795 m","Point to point","This route starts in St-Imier at the train station and leads through the Chasseral Regional Park over the Le Chasseral mountain through the forest and over fields and meadows and various settlements to Grenchen. The path allows for a good tour of the local cultural landscape in this region. 
It is recommended to take cycle route no. 44 on the descent to Sonceboz.","Hard","3.8","(4)","Mountain bikingBike touringForestRiverViewsWildflowersNo dogs"
"1700576962-260","https://www.alltrails.com/switzerland/bern","","Spiez - Reutigen - Obers Heiti - Wimmis","https://www.alltrails.com/trail/switzerland/bern/spiez-reutigen-obers-heiti-wimmis","Spiez - Reutigen - Obers Heiti - Wimmis","Spiez, Bern, Switzerland","34.0 km","1,653 m","Loop","Training round from Spiez via Reutigen to Obere Heiti which is 1484 meters above sea level Various trails and the forest path down to Oey, via trails along the Simme to Wimmis and back to Spiez. Fantastic views of Lake Thun all the way in the canton of Bern.","Hard","4.0","(1)","HikingMountain bikingRunningForestLakeRiverViewsWildflowersHistoric site"
"1700576966-261","https://www.alltrails.com/switzerland/bern","","Magglingen -  Schloss Nidau","https://www.alltrails.com/trail/switzerland/bern/magglingen-schloss-nidau","Magglingen -  Schloss Nidau","Magglingen, Bern, Switzerland","4.2 km","44 m","Point to point","","Easy","3.3","(3)","HikingWalkingRunningForestLakeRiverViewsWildflowersHistoric site"
"1700576970-262","https://www.alltrails.com/switzerland/bern","","Bolligen - Bantiger","https://www.alltrails.com/trail/switzerland/bern/bolligen-bantiger","Bolligen - Bantiger","Bolligen, Bern, Switzerland","9.0 km","425 m","Loop","Discover this great circular hike in the Bernese Mittelland, which is also suitable for runners. The path leads from Bolliger through beautiful meadows and fields to the Bantiger (947 m) and the Bern-Bantiger television tower. The 192 m high television tower has a viewing platform that is accessible via an outside staircase with 154 steps.","Moderate","5.0","(1)","HikingRunningForestRiverViewsWildflowers"
"1700576975-263","https://www.alltrails.com/switzerland/bern","","Zäziwil - Mirchel","https://www.alltrails.com/trail/switzerland/bern/zaziwil-mirchel","Zäziwil - Mirchel","Zäziwil, Bern, Switzerland","4.3 km","44 m","Loop","This path begins in Zäziwil at the train station and then leads out of the small settlement to Mirchel, into the next small settlement. It arrives to the edge of the forest of Gmeiswäldli forest and the path then turns and leads back to the start.

This trail can be a bit muddy after a few bad weather days.","Easy","3.9","(5)","Dogs on leashKid friendlyWalkingRunningPavedViewsCity walk"
"1700576979-264","https://www.alltrails.com/switzerland/bern","","Prêles - Plateau de Diesse","https://www.alltrails.com/trail/switzerland/bern/preles-plateau-de-diesse-circuit","Prêles - Plateau de Diesse","Chasseral Regional Park","20.3 km","475 m","Loop","Here's a great route through picturesque vineyards that begins in the Plateau de Diesse region. The trail heads towards the Chasseral Nature Park, in the triangle between Neuchâtel, La Chaux-de-Fonds and Biel. It passes through the forest with superb views of the surrounding area and reaches Nods, Diesse and Lamboing before returning to Prêles. The route starts at the mountain station of the Ligerz - Prêles funicular. There is also a parking lot nearby.

Here's the funicular's website for costs and opening times: https://www.j3l.ch/de/P35823/standseilbahn-ligerz-preles","Hard","3.5","(7)","HikingMountain bikingRunningForestRiverViews"
"1700576984-265","https://www.alltrails.com/switzerland/bern","","Gadmen Rundweg","https://www.alltrails.com/trail/switzerland/bern/gadmen-rundweg","Gadmen Rundweg","Gadmen, Bern, Switzerland","3.9 km","90 m","Loop","","Easy","4.9","(2)","HikingMountain bikingForestRiverViewsWildlife"
"1700576987-266","https://www.alltrails.com/switzerland/bern","","Lyss - Frienisberg","https://www.alltrails.com/trail/switzerland/bern/lyss-frienisberg","Lyss - Frienisberg","Lyss, Bern, Switzerland","26.7 km","688 m","Loop","Discover this bike tour in the canton of Bern, which takes you from Lyss via Freinisberg to the Chutze and the Chutzenturm on the Freinisberg. From here you can enjoy a fantastic view of the surroundings. The former Cistercian abbey in the Frienisberg monastery, which was built in 1131, is worth a stop.","Moderate","4.4","(4)","Mountain bikingBike touringForestLakeRiverViewsWildflowersHistoric site"
"1700576992-267","https://www.alltrails.com/switzerland/bern","","Grindelwald - Grosse Scheidegg","https://www.alltrails.com/trail/switzerland/bern/grindelwald-grosse-scheidegg","Grindelwald - Grosse Scheidegg","Grindelwald, Bern, Switzerland","31.4 km","1,468 m","Out & back","This tour starts in Grindelwald and leads directly out into the forest up to Holewang. The path crosses the cable car at a certain point and then follows the path up to the top of the peak of the Grosse Scheidegg with amazing views of the Jungfrau mountain peak.

The second part of the hike in particular leads through partly open terrain without much shade, so make sure you have adequate sun protection.

Wonderful hike from the top of Grosse Scheidegg to Schwarzwaldalp. Moor landscape in a very wild area. Beautiful views across to the Jungfrau.","Hard","5.0","(2)","HikingForestRiverViewsWildflowersWildlifeNo shade"
"1700576998-268","https://www.alltrails.com/switzerland/bern","","Guttannen - Windegg hut - Trift Bridge - Fuhren","https://www.alltrails.com/trail/switzerland/bern/guttannen-windegghutte-trift-brucke-fuhren","Guttannen - Windegg hut - Trift Bridge - Fuhren","Innertkirchen, Bern, Switzerland","16.1 km","1,696 m","Point to point","This route starts in Guttanenn and leads through open and partly stony terrain into the countryside. The path first covers a few meters of altitude and then leads to the Windegg hut, from where it is not far to the Trift lake and the adventurous Trift bridge. Then it continues down the Trift Glacier in the background to the Triftbahn mountain station, from where one can either hike further down into the valley or drive down.

It is recommended to check the website beforehand, as fees may apply or opening hours must be observed: https://www.grimselwelt.ch/bahnen/triftbahn/","Hard","3.2","(4)","HikingRunningForestLakeRiverViewsWildflowersWildlife"
